target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,32000.0,0.012177,-0.008915,0.001631,-0.091650,-0.006023,0,1
1.005,32100.0,0.009331,-0.009288,0.000022,-0.062997,-0.027716,-1,0
1.005,32200.0,0.006231,-0.009160,-0.001465,0.024742,-0.049410,-1,0
1.005,32300.0,0.012195,-0.011887,0.000154,0.009085,-0.005725,2,-1
1.005,32400.0,0.009063,-0.012308,-0.001622,-0.027250,0.032017,-1,0
1.005,32500.0,0.009202,-0.006173,0.001515,0.025035,-0.040091,0,1
1.005,32600.0,0.012500,-0.009231,0.001635,-0.008681,-0.035118,0,0
1.005,32700.0,0.012422,-0.008942,0.001740,0.025594,-0.056812,0,0
1.005,32800.0,0.012403,-0.002981,0.004711,-0.040811,-0.176415,0,0
1.005,32900.0,0.009202,-0.014881,-0.002839,0.008254,-0.057756,-1,-3
1.005,33000.0,0.009302,-0.015267,-0.002982,0.054607,0.019369,0,-1
1.005,33100.0,0.012442,-0.014881,-0.001220,0.071418,0.149548,1,1
1.005,33200.0,0.012422,-0.002976,0.004723,0.005485,0.065619,1,4
