phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,48600.0,-0.060150,-0.060318,0,0
rest,1,48700.0,-0.059655,-0.063790,0,0
rest,1,48800.0,-0.072000,-0.118919,0,0
rest,1,48900.0,-0.058642,-0.063439,0,0
rest,1,49000.0,-0.063380,-0.101695,0,0
rest,1,49100.0,-0.057336,-0.087671,0,0
rest,1,49200.0,-0.055641,-0.057047,0,0
rest,1,49300.0,-0.056213,-0.058480,0,0
rest,1,49400.0,-0.061856,-0.061314,0,0
rest,1,49500.0,-0.064417,-0.063291,0,0
rest,1,49600.0,-0.068376,-0.061017,0,0
rest,1,49700.0,-0.069079,-0.068259,0,0
rest,1,49800.0,-0.050445,-0.053628,0,0
rest,1,49900.0,-0.056047,-0.059880,0,0
rest,1,50000.0,-0.058997,-0.062130,0,0
rest,1,50100.0,-0.055556,-0.106557,0,0
rest,1,50200.0,-0.049459,-0.067416,0,0
rest,1,50300.0,-0.059375,-0.056951,0,0
rest,1,50400.0,-0.061121,-0.096257,0,0
rest,1,50500.0,-0.064846,-0.085562,0,0
rest,1,50600.0,-0.059748,-0.060897,0,0
rest,1,50700.0,-0.058104,-0.060897,0,0
rest,1,50800.0,-0.059172,-0.049844,0,0
rest,1,50900.0,-0.056047,-0.056782,0,0
rest,1,51000.0,-0.058193,-0.059603,0,0
rest,1,51100.0,-0.050078,-0.060100,0,0
rest,1,51200.0,-0.063492,-0.063391,0,0
rest,1,51300.0,-0.062016,-0.070039,0,0
rest,1,51400.0,-0.057878,-0.061789,0,0
rest,1,51500.0,-0.052147,-0.065523,0,0
rest,1,51600.0,-0.052550,-0.066246,0,0
rest,1,51700.0,-0.056047,-0.059172,0,0
rest,1,51800.0,-0.056426,-0.065466,0,0
rest,1,51900.0,-0.073529,-0.088561,0,0
rest,1,52000.0,-0.055882,-0.059172,0,0
rest,1,52100.0,-0.059084,-0.059172,0,0
rest,1,52200.0,-0.055965,-0.062315,0,0
rest,1,52300.0,-0.057927,-0.051437,0,0
rest,1,52400.0,-0.059880,-0.057229,0,0
rest,1,52500.0,-0.053333,-0.060060,0,0
rest,1,52600.0,-0.055385,-0.064516,0,0
rest,1,52700.0,-0.057245,-0.087146,0,0
rest,1,52800.0,-0.060150,-0.063092,0,0
